Frecuencia (Hz) | Campo Eléctrico (V/m)
----------------------------------------
4E14	0.005
5E14	0.008
6E14	0.010
7E14	0.012
8E14	0.015
9E14	0.017
1E15	0.020
1.1E15	0.022
1.2E15	0.025
1.3E15	0.028
1.4E15	0.030
1.5E15	0.033
1.6E15	0.035
1.7E15	0.038
1.8E15	0.040
1.9E15	0.043
2E15	0.045
2.1E15	0.048
2.2E15	0.050
2.3E15	0.053
2.4E15	0.055
2.5E15	0.058
2.6E15	0.060
2.7E15	0.063
2.8E15	0.065
2.9E15	0.068
3E15	0.070
3.1E15	0.073
3.2E15	0.075
3.3E15	0.078
3.4E15	0.080
3.5E15	0.083
